$-Code	 Setting	 Units	Datatype	Data format	Setting Description	Min	Max
0	Step pulse time	microseconds	integer	#0	Sets time length per step. Minimum 3 microseconds.	3	
1	Step idle delay	milliseconds	integer	##0	Sets a short hold delay when stopping to let dynamics settle before disabling steppers. Value 255 keeps motors enabled.		255
2	Step pulse invert	mask	bitfield	axes	Inverts the step signals (active low).		
3	Step direction invert	mask	bitfield	axes	Inverts the direction signals (active low).		
4	Invert step enable pin	boolean	bitfield	axes	Inverts the stepper driver enable signals  (active low). If the stepper drivers shares the same enable signal only X is used.		
5	Invert limit pins	mask	bitfield	axes	Inverts the axis limit input signals. 		
6	Invert probe pin	boolean	bool		Inverts the probe input pin signal.		
10	Status report options	mask	bitfield	Position in machine coordinate,Buffer state	Specifies optional data included in status reports.		
11	Junction deviation	mm	float	#####0.000	Sets how fast Grbl travels through consecutive motions. Lower value slows it down.		
12	Arc tolerance	mm	float	#####0.000	Sets the G2 and G3 arc tracing accuracy based on radial error. Beware: A very small value may effect performance.		
13	Report in inches	boolean	bool		Enables inch units when returning any position and rate value that is not a settings value.		
20	Soft limits enable	boolean	bool		Enables soft limits checks within machine travel and sets alarm when exceeded. Requires homing.		
21	Hard limits enable	boolean	bool		When enabled immediately halts motion and throws an alarm when a limit switch is triggered. 		
22	Homing enable	boolean	bool		Enables homing cycle. Requires limit switches on axes to be homed.		
23	Homing direction invert	mask	bitfield	axes	Homing searches for a switch in the positive direction. Set axis bit to search in negative direction.		
24	Homing locate feed rate	mm/min	float	#####0.000	Feed rate to slowly engage limit switch to determine its location accurately.		
25	Homing search seek rate	mm/min	float	#####0.000	Seek rate to quickly find the limit switch before the slower locating phase.		
26	Homing switch debounce delay	milliseconds	integer	##0	Sets a short delay between phases of homing cycle to let a switch debounce.		
27	Homing switch pull-off distance	mm	float	#####0.000	Retract distance after triggering switch to disengage it. Homing will fail if switch isn't cleared.		
30	Maximum spindle speed	RPM	float	#####0.000	Maximum spindle speed. Sets PWM to maximum duty cycle.		
31	Minimum spindle speed	RPM	float	#####0.000	Minimum spindle speed. Sets PWM to minimum duty cycle.		
32	Laser mode	boolean	bool		Consecutive G1/2/3 commands will not halt when spindle speed is changed.		
100	X-axis travel resolution	step/mm	float	#####0.000	X-axis travel resolution in steps per millimeter.		
101	Y-axis travel resolution	step/mm	float	#####0.000	Y-axis travel resolution in steps per millimeter.		
102	Z-axis travel resolution	step/mm	float	#####0.000	Z-axis travel resolution in steps per millimeter.		
103	A-axis travel resolution	step/mm	float	#####0.000	A-axis travel resolution in steps per millimeter.		
104	B-axis travel resolution	step/mm	float	#####0.000	B-axis travel resolution in steps per millimeter.		
105	C-axis travel resolution	step/mm	float	#####0.000	C-axis travel resolution in steps per millimeter.		
110	X-axis maximum rate	mm/min	float	#####0.000	X-axis maximum rate. Used as G0 rapid rate.		
111	Y-axis maximum rate	mm/min	float	#####0.000	Y-axis maximum rate. Used as G0 rapid rate.		
112	Z-axis maximum rate	mm/min	float	#####0.000	Z-axis maximum rate. Used as G0 rapid rate.		
113	A-axis maximum rate	mm/min	float	#####0.000	A-axis maximum rate. Used as G0 rapid rate.		
114	B-axis maximum rate	mm/min	float	#####0.000	B-axis maximum rate. Used as G0 rapid rate.		
115	C-axis maximum rate	mm/min	float	#####0.000	C-axis maximum rate. Used as G0 rapid rate.		
120	X-axis acceleration	mm/sec^2	float	#####0.000	X-axis acceleration. Used for motion planning to not exceed motor torque and lose steps.		
121	Y-axis acceleration	mm/sec^2	float	#####0.000	Y-axis acceleration. Used for motion planning to not exceed motor torque and lose steps.		
122	Z-axis acceleration	mm/sec^2	float	#####0.000	Z-axis acceleration. Used for motion planning to not exceed motor torque and lose steps.		
123	A-axis acceleration	mm/sec^2	float	#####0.000	A-axis acceleration. Used for motion planning to not exceed motor torque and lose steps.		
124	B-axis acceleration	mm/sec^2	float	#####0.000	B-axis acceleration. Used for motion planning to not exceed motor torque and lose steps.		
125	C-axis acceleration	mm/sec^2	float	#####0.000	C-axis acceleration. Used for motion planning to not exceed motor torque and lose steps.		
130	X-axis maximum travel	mm	float	#####0.000	Maximum X-axis travel distance from homing switch. Determines valid machine space for soft-limits and homing search distances.		
131	Y-axis maximum travel	mm	float	#####0.000	Maximum Y-axis travel distance from homing switch. Determines valid machine space for soft-limits and homing search distances.		
132	Z-axis maximum travel	mm	float	#####0.000	Maximum Z-axis travel distance from homing switch. Determines valid machine space for soft-limits and homing search distances.		
133	A-axis maximum travel	mm	float	#####0.000	Maximum A-axis travel distance from homing switch. Determines valid machine space for soft-limits and homing search distances.		
134	B-axis maximum travel	mm	float	#####0.000	Maximum B-axis travel distance from homing switch. Determines valid machine space for soft-limits and homing search distances.		
135	C-axis maximum travel	mm	float	#####0.000	Maximum B-axis travel distance from homing switch. Determines valid machine space for soft-limits and homing search distances.		
140	X-axis motor current	mA	integer	###0	X-axis motor current in mA (RMS).		
141	Y-axis motor current	mA	integer	###0	X-axis motor current in mA (RMS).		
142	Z-axis motor current	mA	integer	###0	X-axis motor current in mA (RMS).		
143	A-axis motor current	mA	integer	###0	X-axis motor current in mA (RMS).		
144	B-axis motor current	mA	integer	###0	X-axis motor current in mA (RMS).		
145	C-axis motor current	mA	integer	###0	X-axis motor current in mA (RMS).		
150	X-axis microsteps	steps	integer	###0	X-axis microsteps per fullstep.		
151	Y-axis microsteps	steps	integer	###0	X-axis microsteps per fullstep.		
152	Z-axis microsteps	steps	integer	###0	X-axis microsteps per fullstep.		
153	A-axis microsteps	steps	integer	###0	X-axis microsteps per fullstep.		
154	B-axis microsteps	steps	integer	###0	X-axis microsteps per fullstep.		
155	C-axis microsteps	steps	integer	###0	X-axis microsteps per fullstep.		
160	X-axis backlash compensation	mm	float	#####0.000	X-axis backlash distance to compensate for.		
161	Y-axis backlash compensation	mm	float	#####0.000	Y-axis backlash distance to compensate for.		
162	Z-axis backlash compensation	mm	float	#####0.000	Z-axis backlash distance to compensate for.		
163	A-axis backlash compensation	mm	float	#####0.000	A-axis backlash distance to compensate for.		
164	B-axis backlash compensation	mm	float	#####0.000	B-axis backlash distance to compensate for.		
165	C-axis backlash compensation	mm	float	#####0.000	B-axis backlash distance to compensate for.		
